fighter_url,name,nickname,height,weight,reach,stance,dob,wins,losses,draws,nc,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
http://www.ufcstats.com/fighter-details/c34e5849184b08c3,Yasuhiro Urushitani,,"5' 5""",125 lbs.,--,Southpaw,"Sep 08, 1976",,,,,3.47,39%,4.71,,0.00,0%,80%,0.0
http://www.ufcstats.com/fighter-details/26eddcda9d6b2ffe,Paul Rodriguez,,"5' 7""",155 lbs.,--,Orthodox,"May 18, 1975",,,,,0.84,100%,1.68,,0.00,0%,50%,0.0
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,Manzo,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",,,,,3.32,39%,3.44,,1.46,39%,83%,0.0
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,Big Frog,"5' 6""",135 lbs.,"69""",Orthodox,"Sep 02, 1977",,,,,1.54,31%,2.48,,0.35,12%,35%,1.2
http://www.ufcstats.com/fighter-details/dc9572dd6ec74859,Colby Covington,Chaos,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",,,,,3.81,38%,3.09,,3.64,42%,68%,0.2
http://www.ufcstats.com/fighter-details/361d49960a196976,Daniel Pineda,The Pit,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 06, 1985",,,,,2.85,49%,3.26,,1.42,24%,54%,1.5
http://www.ufcstats.com/fighter-details/83b743fedde154fb,Joe Son,,"5' 4""",236 lbs.,--,Orthodox,"Nov 22, 1970",,,,,0.00,0%,0.00,,0.00,0%,0%,0.0
http://www.ufcstats.com/fighter-details/89839250eb25c9c1,Caio Machado,Bigfoot,"6' 4""",250 lbs.,"78""",Southpaw,"Jul 20, 1994",,,,,5.82,53%,2.87,,0.00,0%,82%,0.0
http://www.ufcstats.com/fighter-details/505934897b8b4824,Thaddeus Luster,,"6' 3""",210 lbs.,--,,--,,,,,0.00,0%,0.00,,0.00,0%,0%,0.0
http://www.ufcstats.com/fighter-details/71df36d6d8cf0d74,Kiichi Kunimoto,Strasser,"5' 10""",170 lbs.,"71""",Orthodox,"May 01, 1981",,,,,1.87,44%,3.92,,1.59,20%,28%,0.3
http://www.ufcstats.com/fighter-details/3d5b1ce6097dbb49,Augusto Mendes,Tanquinho,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983",,,,,2.42,34%,3.91,,1.75,33%,80%,0.0
http://www.ufcstats.com/fighter-details/219a254e15d60135,Tim Hague,The Trashing Machine,"6' 4""",260 lbs.,"76""",Orthodox,"May 09, 1983",,,,,2.79,47%,4.14,,1.72,33%,85%,0.9
http://www.ufcstats.com/fighter-details/5731cc327790b731,Matt Veach,,"5' 11""",155 lbs.,--,Orthodox,"May 31, 1981",,,,,1.12,28%,4.91,,3.64,38%,100%,1.5
http://www.ufcstats.com/fighter-details/8f4528c10bd34fab,Mandel Nallo,Mango,"6' 0""",155 lbs.,"75""",Orthodox,"Jul 26, 1989",,,,,8.26,58%,5.03,,0.00,0%,100%,0.0
http://www.ufcstats.com/fighter-details/a12a8314adc1c1c9,Laureano Staropoli,Pepi,"6' 1""",185 lbs.,"71""",Orthodox,"Feb 27, 1993",,,,,3.31,34%,3.73,,0.83,26%,48%,0.0
http://www.ufcstats.com/fighter-details/dd8aec6de7035943,Dan Evensen,The Viking,"6' 3""",250 lbs.,--,Orthodox,"Jun 01, 1974",,,,,0.27,10%,3.86,,0.00,0%,0%,4.0
http://www.ufcstats.com/fighter-details/edad57b3dddf2168,Jared Papazian,The Jackhammer,"5' 8""",135 lbs.,"67""",Southpaw,"Feb 01, 1988",,,,,3.33,39%,3.81,,0.00,0%,50%,0.0
http://www.ufcstats.com/fighter-details/6b56e94a59b7b134,Oban Elliott,The Welsh Gangster,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 19, 1997",,,,,3.62,48%,2.24,,1.52,40%,52%,0.0
http://www.ufcstats.com/fighter-details/bc711b6dd95c1af6,Mario Bautista,,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993",,,,,5.30,48%,3.98,,1.91,38%,55%,0.8
http://www.ufcstats.com/fighter-details/32c03df3c9760069,Wendell Oliveira Marques,The Machine,"5' 10""",170 lbs.,--,Orthodox,"Jun 01, 1983",,,,,3.77,47%,4.40,,0.00,0%,100%,0.0
http://www.ufcstats.com/fighter-details/d512d9f204059f57,Joe Riggs,Diesel,"6' 0""",185 lbs.,"70""",Southpaw,"Sep 23, 1982",,,,,2.41,51%,1.69,,2.45,55%,62%,0.6
http://www.ufcstats.com/fighter-details/67c1d46f4ed16f9e,Matt Schnell,Danger,"5' 8""",125 lbs.,"70""",Orthodox,"Jan 15, 1990",,,,,4.07,40%,4.11,,0.60,45%,43%,1.2
http://www.ufcstats.com/fighter-details/aae99701b21554e4,Ryan Jensen,,"6' 1""",185 lbs.,"76""",Orthodox,"Sep 20, 1977",,,,,2.84,39%,2.99,,1.55,50%,31%,1.9
http://www.ufcstats.com/fighter-details/fc08099550072fe4,Waldo Cortes Acosta,Salsa Boy,"6' 4""",260 lbs.,"78""",Orthodox,"Oct 03, 1991",,,,,5.54,49%,3.38,,0.44,57%,72%,0.1
http://www.ufcstats.com/fighter-details/445a98acb8985970,Falaniko Vitale,Niko,"5' 10""",185 lbs.,--,Orthodox,"Jul 14, 1974",,,,,1.88,49%,3.68,,0.72,33%,86%,0.0
http://www.ufcstats.com/fighter-details/be9d259be012e8a4,Scott Morris,,"5' 10""",210 lbs.,--,Orthodox,--,,,,,0.00,0%,0.00,,0.00,0%,0%,0.0
http://www.ufcstats.com/fighter-details/404ecb2700844072,DeAnna Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 18, 1984",,,,,3.13,58%,3.27,,0.00,0%,0%,1.0
http://www.ufcstats.com/fighter-details/275cafc9de131c83,Dave Menne,The Warrior,"5' 10""",170 lbs.,--,Orthodox,"Jul 29, 1974",,,,,1.84,44%,1.99,,0.46,50%,57%,2.5
http://www.ufcstats.com/fighter-details/07a74004d964c7f4,Billy Elekana,Son of Susie,"6' 3""",205 lbs.,"77""",Southpaw,"May 28, 1995",,,,,2.71,56%,3.59,,0.85,22%,0%,0.8
http://www.ufcstats.com/fighter-details/b71ce838b01f2cad,Rony Jason,,"5' 7""",145 lbs.,"73""",Orthodox,"Mar 21, 1984",,,,,2.04,44%,3.14,,0.59,30%,36%,0.8
http://www.ufcstats.com/fighter-details/08af939f41b5a57b,Beneil Dariush,,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",,,,,3.78,49%,2.62,,2.11,38%,82%,0.8
http://www.ufcstats.com/fighter-details/2525a853486ee670,Sirwan Kakai,Zohan,"5' 5""",135 lbs.,--,Orthodox,"Oct 03, 1989",,,,,3.57,41%,4.63,,4.00,42%,83%,0.0
http://www.ufcstats.com/fighter-details/e803242fb2e41112,Islam Dulatov,The Ripper,"6' 3""",170 lbs.,"75""",Orthodox,"Aug 02, 1998",,,,,8.78,54%,4.24,,2.20,100%,100%,0.0
http://www.ufcstats.com/fighter-details/ffdeb4fbea09ce75,Jessica Rakoczy,The Ragin',"5' 7""",115 lbs.,--,Orthodox,"Apr 14, 1977",,,,,2.50,44%,3.55,,0.75,20%,0%,0.8
http://www.ufcstats.com/fighter-details/155bfc7ed36622df,Solomon Hutcherson,King,"5' 11""",185 lbs.,--,Southpaw,"Aug 31, 1972",,,,,2.59,39%,2.59,,3.53,100%,0%,0.0
http://www.ufcstats.com/fighter-details/5c10da56d712ac9c,Khusein Askhabov,Nohcho,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 13, 1995",,,,,2.00,26%,4.13,,0.00,0%,66%,0.0
http://www.ufcstats.com/fighter-details/1e7483dbff40b84b,Vik Grujic,The Spartan,"5' 11""",170 lbs.,"73""",Orthodox,"Feb 06, 1977",,,,,2.24,48%,3.39,,1.18,33%,26%,0.4
http://www.ufcstats.com/fighter-details/9147679e1a4ad4a3,Richardson Moreira,Rick Monstro,"6' 2""",185 lbs.,--,Orthodox,"Mar 31, 1984",,,,,1.17,28%,1.83,,0.00,0%,100%,0.0
http://www.ufcstats.com/fighter-details/915c8d39d4a0e7d1,Ramiro Hernandez,Junior,"5' 9""",135 lbs.,--,Orthodox,"Jul 22, 1986",,,,,2.72,28%,5.51,,0.00,0%,0%,0.0
http://www.ufcstats.com/fighter-details/0c6d9ea8306c029e,Brad Tavares,,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",,,,,3.41,43%,3.32,,0.70,26%,80%,0.0
