fighter_url,fighter_name,wl,opponent,kd,str,td,sub,event,event_url,method,round,time
http://www.ufcstats.com/fighter-details/c34e5849184b08c3,Yasuhiro Urushitani,loss,Yasuhiro Urushitani John Lineker,0 0,62 77,0 0,0 0,"UFC Macao: Franklin vs Le Nov. 10, 2012",http://www.ufcstats.com/event-details/319fa1bd3176bded,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/c34e5849184b08c3,Yasuhiro Urushitani,loss,Yasuhiro Urushitani Joseph Benavidez,0 1,8 18,0 1,0 1,"UFC on FX: Alves vs Kampmann Mar. 02, 2012",http://www.ufcstats.com/event-details/b5ea750025697880,KO/TKO Punch,2,0:11
http://www.ufcstats.com/fighter-details/26eddcda9d6b2ffe,Paul Rodriguez,loss,Paul Rodriguez Mitsuhiro Ishida,0 0,1 5,0 1,0 1,"PRIDE Bushido 10 Apr. 02, 2006",http://www.ufcstats.com/event-details/95eb112a85601a0a,SUB Guillotine Choke,1,2:29
http://www.ufcstats.com/fighter-details/26eddcda9d6b2ffe,Paul Rodriguez,loss,Paul Rodriguez Tiki Ghosn,-- --,-- --,-- --,-- --,"WFA 1 Nov. 03, 2001",http://www.ufcstats.com/event-details/d3de4a24f7eefac8,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/26eddcda9d6b2ffe,Paul Rodriguez,loss,Paul Rodriguez Tony DeSouza,0 0,2 1,0 0,0 2,"UFC 32: Showdown in the Meadowlands Jun. 29, 2001",http://www.ufcstats.com/event-details/7b9aa973e5c04624,SUB Guillotine Choke,1,1:05
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,loss,Alessio Di Chirico Roman Kopylov,0 1,39 59,0 0,0 0,"UFC Fight Night: Gane vs. Tuivasa Sep. 03, 2022",http://www.ufcstats.com/event-details/00a905a4a4a2b071,KO/TKO Punches,3,1:09
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,loss,Alessio Di Chirico Abdul Razak Alhassan,0 1,1 1,0 0,0 0,"UFC Fight Night: Barboza vs. Chikadze Aug. 28, 2021",http://www.ufcstats.com/event-details/0db9d2486d564a3c,KO/TKO Kick,1,0:17
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,win,Alessio Di Chirico Joaquin Buckley,1 0,12 3,0 0,0 0,"UFC Fight Night: Holloway vs. Kattar Jan. 16, 2021",http://www.ufcstats.com/event-details/307064d3e0f036c2,KO/TKO Kick,1,2:12
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,loss,Alessio Di Chirico Zak Cummings,0 1,53 54,0 0,0 0,"UFC Fight Night: Smith vs. Rakic Aug. 29, 2020",http://www.ufcstats.com/event-details/e29cf523ebd155c5,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,loss,Alessio Di Chirico Makhmud Muradov,0 0,36 54,0 0,0 0,"UFC Fight Night: Hermansson vs. Cannonier Sep. 28, 2019",http://www.ufcstats.com/event-details/1bf49bf829964144,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,loss,Alessio Di Chirico Kevin Holland,0 0,51 58,2 0,0 0,"UFC Fight Night: Moicano vs. The Korean Zombie Jun. 22, 2019",http://www.ufcstats.com/event-details/b16a7e6a627e9789,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,win,Alessio Di Chirico Julian Marquez,0 0,50 47,4 0,0 2,"The Ultimate Fighter: Undefeated Finale Jul. 06, 2018",http://www.ufcstats.com/event-details/8215e4fe24e8e81b,S-DEC,3,5:00
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,win,Alessio Di Chirico Oluwale Bamgbose,1 0,6 10,1 0,0 0,"UFC Fight Night: Lawler vs. Dos Anjos Dec. 16, 2017",http://www.ufcstats.com/event-details/eaa0a728cc91ef60,KO/TKO Knee,2,2:14
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,loss,Alessio Di Chirico Eric Spicely,0 0,1 1,0 1,0 1,"UFC on FOX: Shevchenko vs. Pena Jan. 28, 2017",http://www.ufcstats.com/event-details/4512e46543b960ad,SUB Triangle Choke,1,2:14
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,win,Alessio Di Chirico Garreth McLellan,1 0,61 57,2 2,0 0,"UFC on FOX: Maia vs. Condit Aug. 27, 2016",http://www.ufcstats.com/event-details/cfbccfed4e4796fe,S-DEC,3,5:00
http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,loss,Alessio Di Chirico Bojan Velickovic,0 0,65 45,2 1,0 1,"UFC Fight Night: Rothwell vs Dos Santos Apr. 10, 2016",http://www.ufcstats.com/event-details/4887e5bc4dbb73ff,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,loss,Jeff Curran Johnny Eduardo,0 0,31 51,0 0,0 0,"UFC on FUEL TV: Korean Zombie vs Poirier May. 15, 2012",http://www.ufcstats.com/event-details/8caca5857ce0e30b,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,loss,Jeff Curran Scott Jorgensen,0 0,41 42,0 5,1 0,"UFC 137: Penn vs Diaz Oct. 29, 2011",http://www.ufcstats.com/event-details/8788beb528894f33,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,win,Jeff Curran Dustin Neace,-- --,-- --,-- --,-- --,"Strikeforce - Fedor vs. Rogers Nov. 07, 2009",http://www.ufcstats.com/event-details/42078a86d3dd037b,SUB Injury,1,1:39
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,loss,Jeff Curran Takeya Mizugaki,0 0,24 18,0 3,3 0,"WEC 42: Torres vs. Bowles Aug. 09, 2009",http://www.ufcstats.com/event-details/d26934530dc5b248,S-DEC,3,5:00
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,loss,Jeff Curran Joseph Benavidez,0 1,22 51,1 2,1 1,"WEC 40: Torres vs. Mizugaki Apr. 05, 2009",http://www.ufcstats.com/event-details/50cc91ce2982785d,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,loss,Jeff Curran Mike Brown,0 0,19 34,0 3,0 0,"WEC 34: Faber vs. Pulver Jun. 01, 2008",http://www.ufcstats.com/event-details/c2a7623f398d9bd7,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,loss,Jeff Curran Urijah Faber,0 0,10 14,1 0,0 1,"WEC 31: Faber vs. Curran Dec. 12, 2007",http://www.ufcstats.com/event-details/06f0ffa6446c5b6d,SUB Guillotine Choke,2,4:34
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,win,Jeff Curran Stephen Ledbetter,0 0,24 18,0 5,3 0,"WEC 29: Condit vs. Larson Aug. 05, 2007",http://www.ufcstats.com/event-details/672ef06fd9f41f7d,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,loss,Jeff Curran Hatsu Hioki,0 0,19 48,1 3,1 0,"PRIDE Bushido 12 Aug. 27, 2006",http://www.ufcstats.com/event-details/1ccf4e7caff270df,U-DEC,2,5:00
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,loss,Jeff Curran Matt Serra,0 0,9 45,0 6,1 0,"UFC 46: Supernatural Jan. 31, 2004",http://www.ufcstats.com/event-details/94609dd91731d428,U-DEC,3,5:00
http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,Jeff Curran,win,Jeff Curran Todd Lally,-- --,-- --,-- --,-- --,"WFA 3 Nov. 23, 2002",http://www.ufcstats.com/event-details/6ece1d2ab1bed31d,SUB Triangle Choke,1,4:49
http://www.ufcstats.com/fighter-details/dc9572dd6ec74859,Colby Covington,loss,Colby Covington Joaquin Buckley,0 0,37 75,1 0,0 1,"UFC Fight Night: Covington vs. Buckley Dec. 14, 2024",http://www.ufcstats.com/event-details/72c9c2eadfc3277e,KO/TKO,3,4:42
http://www.ufcstats.com/fighter-details/dc9572dd6ec74859,Colby Covington,loss,Colby Covington Leon Edwards,0 0,44 57,2 2,0 2,"UFC 296: Edwards vs. Covington Dec. 16, 2023",http://www.ufcstats.com/event-details/a8e8587a06e73c87,U-DEC,5,5:00
