event_id,event_name,event_url,fight_order,fight_url,fighter_A,fighter_B,WL_label,KD,STR,TD,SUB,weight_class,method,round_end,time_end,scheduled_rounds
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,1,http://www.ufcstats.com/fight-details/f524e42c36028de0,Aljamain Sterling,Youssef Zalal,win,0 0,46 35,6 0,1 1,Featherweight,U-DEC,5,5:00,5
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,2,http://www.ufcstats.com/fight-details/cb745968bd16bf56,Joselyne Edwards,Norma Dumont,win,0 0,70 51,0 0,0 0,Women's Bantamweight,U-DEC,3,5:00,3
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,3,http://www.ufcstats.com/fight-details/84951374e4cdc679,Rafa Garcia,Alexander Hernandez,win,0 0,59 50,4 0,0 0,Lightweight,U-DEC,3,5:00,3
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,4,http://www.ufcstats.com/fight-details/f5aff2f858311fbc,Davey Grant,Adrian Luna Martinetti,win,0 0,162 99,0 1,0 0,Bantamweight,U-DEC,3,5:00,3
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,5,http://www.ufcstats.com/fight-details/348de8e364ecf041,Raoni Barcelos,Montel Jackson,win,0 1,21 35,6 0,2 0,Bantamweight,S-DEC,3,5:00,3
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,6,http://www.ufcstats.com/fight-details/7e551ddb1494a45f,Ryan Spann,Marcus Buchecha,win,1 0,15 8,0 1,0 1,Heavyweight,KO/TKO Punch,2,2:10,3
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,7,http://www.ufcstats.com/fight-details/67f24cf244134661,Eric McConico,Rodolfo Vieira,win,0 1,54 40,2 4,0 1,Middleweight,U-DEC,3,5:00,3
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,8,http://www.ufcstats.com/fight-details/ef1cd6371a3f18e0,Jackson McVey,Sedriques Dumas,win,1 0,21 3,0 0,1 0,Middleweight,SUB D'Arce Choke,1,2:14,3
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,9,http://www.ufcstats.com/fight-details/dcfd594b68ff5ae1,Michelle Montague,Mayra Bueno Silva,win,0 0,42 26,2 0,0 1,Women's Bantamweight,U-DEC,3,5:00,3
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,10,http://www.ufcstats.com/fight-details/d421f3cd158fd055,Cody Durden,Jafel Filho,win,0 0,34 23,5 2,1 0,Bantamweight,U-DEC,3,5:00,3
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,11,http://www.ufcstats.com/fight-details/c7fb90f1355291e4,Francis Marshall,Lucas Brennan,win,0 0,33 9,2 0,0 1,Lightweight,U-DEC,3,5:00,3
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,12,http://www.ufcstats.com/fight-details/2e7f8d0ad385876d,Victor Valenzuela,Max Griffin,win,0 0,53 40,1 4,0 0,Welterweight,U-DEC,3,5:00,3
e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,http://www.ufcstats.com/event-details/e60d773a0a42048a,13,http://www.ufcstats.com/fight-details/0df4f4ac27cf2d26,Talita Alencar,Julia Polastri,win,0 0,60 78,3 0,0 0,Women's Strawweight,U-DEC,3,5:00,3
c3ac8d0da7b05772,UFC Fight Night: Burns vs. Malott,http://www.ufcstats.com/event-details/c3ac8d0da7b05772,1,http://www.ufcstats.com/fight-details/32054bf2b36b0e47,Mike Malott,Gilbert Burns,win,2 0,56 40,0 0,0 0,Welterweight,KO/TKO Punches,3,2:08,3
c3ac8d0da7b05772,UFC Fight Night: Burns vs. Malott,http://www.ufcstats.com/event-details/c3ac8d0da7b05772,2,http://www.ufcstats.com/fight-details/b5299e5b946015e5,Charles Jourdain,Kyler Phillips,win,0 0,58 36,1 7,0 0,Bantamweight,U-DEC,3,5:00,3
c3ac8d0da7b05772,UFC Fight Night: Burns vs. Malott,http://www.ufcstats.com/event-details/c3ac8d0da7b05772,3,http://www.ufcstats.com/fight-details/e644218737c1a778,Jai Herbert,Mandel Nallo,win,2 1,19 16,0 0,0 0,Lightweight,KO/TKO Punches,1,2:05,3
c3ac8d0da7b05772,UFC Fight Night: Burns vs. Malott,http://www.ufcstats.com/event-details/c3ac8d0da7b05772,4,http://www.ufcstats.com/fight-details/5a209522211d7530,Jasmine Jasudavicius,Karine Silva,win,0 0,18 15,3 0,0 2,Women's Flyweight,U-DEC,3,5:00,3
c3ac8d0da7b05772,UFC Fight Night: Burns vs. Malott,http://www.ufcstats.com/event-details/c3ac8d0da7b05772,5,http://www.ufcstats.com/fight-details/a661c0bee7c8d5af,Gauge Young,Thiago Moises,win,1 0,122 45,0 2,0 0,Lightweight,S-DEC,3,5:00,3
c3ac8d0da7b05772,UFC Fight Night: Burns vs. Malott,http://www.ufcstats.com/event-details/c3ac8d0da7b05772,6,http://www.ufcstats.com/fight-details/678440bd8274a18e,Marcio Barbosa,Dennis Buzukja,win,1 0,4 5,0 0,0 0,Featherweight,KO/TKO Punch,1,1:20,3
c3ac8d0da7b05772,UFC Fight Night: Burns vs. Malott,http://www.ufcstats.com/event-details/c3ac8d0da7b05772,7,http://www.ufcstats.com/fight-details/9fab4b0ad082f670,Robert Valentin,Julien Leblanc,win,0 0,7 4,1 0,1 0,Middleweight,SUB Rear Naked Choke,1,2:22,3
